pair,SVM_predict,RF_predict,XGB_predict
1-ethyl-3-methylpyridinium bis(fluorosulfonyl)imide,0,1,1
1-benzyl-3-methylimidazolium dibutylphosphate,0,0,0
2-hydroxyethylammonium ethyl sulfate,0,1,0
"1-methyl-3-nonylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
"1-butyl-4-methylpyridinium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-ethyl-3-methylimidazolium bis(fluorosulfonyl)imide,1,1,1
1-ethyl-3-vinylimidazolium dibutylphosphate,0,0,0
1-ethyl-3-vinylimidazolium hydrogensulfate,0,0,0
"1-butyl-2,3-dimethylimidazolium acetate",0,0,0
1-methyl-1-octylpyrrolidinium ethyl sulfate,0,0,0
1-hexyl-3-methylimidazolium formate,0,0,0
diethylmethylsulfonium dimethyl phosphate,1,0,0
1-propylpyridinium bis(2-ethylhexyl)phosphate,0,0,0
1-methyl-3-nonylimidazolium bis(trifluoromethylsulfonyl)imide,0,0,0
1-ethyl-2-methylpyridinium dicyanamide,1,1,1
1-methyl-1-propylpyrrolidinium dibutylphosphate,0,0,0
1-propyl-3-methylpyridinium thiocyanate,1,1,1
1-butyl-1-methylpyrrolidinium bis(2-ethylhexyl)phosphate,0,0,0
1-methyl-3-octylimidazolium decanoate,0,0,0
1-methyl-3-propylimidazolium dimethyl phosphate,0,0,0
choline methyl sulfate,0,0,0
n-ethyl-n-methyl-n-propylammonium bis(fluorosulfonyl)imide,1,1,0
triethylsulfonium trifluoroacetate,1,1,0
2-hydroxyethylammonium nitrate,1,1,1
1-methyl-3-pentylimidazolium tricyanomethanide,1,1,1
"1,2-dimethyl-3-propylimidazolium acetate",0,0,0
1-(2-methoxyethyl)-3-methylimidazolium formate,0,0,0
1-butyl-3-vinylimidazolium formate,0,0,0
1-methyl-3-pentylimidazolium trifluoroacetate,0,0,0
n-ethyl-n-methyl-n-propylammonium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-methyl-3-propylimidazolium methyl sulfate,0,0,0
"1,3-diethylimidazolium bis(2-ethylhexyl)phosphate",0,0,0
1-propyl-4-methylpyridinium triflate,0,0,0
butyltrimethylammonium dibutylphosphate,0,0,0
1-methyl-1-octylpyrrolidinium methyl sulfate,0,0,0
tributylmethylphosphonium bis(fluorosulfonyl)imide,1,0,0
1-decyl-3-methylimidazolium bis(2-ethylhexyl)phosphate,0,0,0
1-butyl-2-methylpyridinium acetate,0,0,0
"1,3-diethylimidazolium dihydrogen phosphate",0,0,0
ethyltributylphosphonium bis(2-ethylhexyl)phosphate,0,0,0
"1-hexyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-hexylpyridinium methyl sulfate,0,0,0
1-butyl-3-ethylimidazolium diethyl phosphate,0,0,0
1-ethyl-3-methylpyridinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-ethyl-3-vinylimidazolium tosylate,0,0,0
tributyltetradecylphosphonium bis(fluorosulfonyl)imide,0,0,0
ethylammonium dicyanamide,1,1,1
"1,2-dimethylimidazolium bis(pentafluoroethylsulfonyl)imide",0,0,0
ethyltributylphosphonium dibutylphosphate,0,0,0
diethylmethylsulfonium dicyanamide,1,1,1
"1-butyl-3-methylpyridinium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-butyl-3-vinylimidazolium bis(2-ethylhexyl)phosphate,0,0,0
1-ethyl-1-methylpyrrolidinium bis(pentafluoroethylsulfonyl)imide,0,0,0
"1,2-dimethyl-3-propylimidazolium bis(pentafluoroethylsulfonyl)imide",0,0,0
1-methyl-3-propylimidazolium bis(pentafluoroethylsulfonyl)imide,0,0,1
1-(2-hydroxyethyl)-3-methylimidazolium tricyanomethanide,1,1,1
diethylmethylsulfonium dibutylphosphate,1,0,0
tributyltetradecylphosphonium thiocyanate,0,0,0
1-butyl-3-ethylimidazolium tetrafluoroborate,0,0,0
1-hexyl-1-methylpyrrolidinium dicyanamide,1,0,0
1-methyl-3-propylimidazolium triflate,0,1,1
1-(2-hydroxyethyl)-3-methylimidazolium dicyanamide,1,1,1
1-methyl-3-propylimidazolium thiocyanate,1,1,1
butyltriethylammonium thiocyanate,1,0,1
1-ethyl-4-methylpyridinium dibutylphosphate,0,0,0
