label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion,conductivity_norm,viscosity_norm,density_norm,cation_type,anion_type
1-Ethyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,3.42,,1.49,<RT,31.8,C10H12F6N2O4S2,25.0,21.0,25.0,1-Ethyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide,3.42,31.8,1.7738095238095237,pyridinium,imid
1-Ethylimidazolium  chloride,,,,>RT,,C5H9ClN2,25.0,25.0,25.0,1-Ethylimidazolium,chloride,,,,imidazolium,chloride
1-Ethylimidazolium  triflate,,,,>RT,,C6H9F3N2O3S,25.0,25.0,25.0,1-Ethylimidazolium,triflate,,,,imidazolium,triflate
1-Ethylimidazolium bis(trifluoromethylsulfonyl)imide,4.01,3.4,,<RT,57.2,C7H9F6N3O4S2,30.0,25.0,25.0,1-Ethylimidazolium,bis(trifluoromethylsulfonyl)imide,3.3416666666666663,57.2,,imidazolium,imid
1-Ethylimidazolium bromide,,,,>RT,,C5H9BrN2,25.0,25.0,25.0,1-Ethylimidazolium,bromide,,,,imidazolium,bromide
1-Ethylimidazolium nitrate,,,,<RT,,C5H9N3O3,25.0,25.0,25.0,1-Ethylimidazolium,nitrate,,,,imidazolium,nitrate
1-Ethylpyridinium bis(trifluoromethylsulfonyl)imide,,,,>RT,,C9H10F6N2O4S2,25.0,25.0,25.0,1-Ethylpyridinium,bis(trifluoromethylsulfonyl)imide,,,,pyridinium,imid
1-Ethylpyridinium hexafluorophosphate,,,,106,,C7H10F6NP,25.0,25.0,25.0,1-Ethylpyridinium,hexafluorophosphate,,,,pyridinium,phosph
1-Ethylpyridinium tetrafluoroborate,,,,46,,C7H10BF4N,25.0,25.0,25.0,1-Ethylpyridinium,tetrafluoroborate,,,,pyridinium,tetrafluoroborate
1-Ethylpyridinium triflate,4.34,,1.4,>RT,68.8,C8H10F3NO3S,24.0,24.0,25.0,1-Ethylpyridinium,triflate,4.520833333333333,68.8,1.4583333333333333,pyridinium,triflate
