label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion,conductivity_norm,viscosity_norm,density_norm,cation_type,anion_type
1-Hexyl-3-methylimidazolium tetrafluoroborate,1.18,5.1,1.15,<RT,288.0,C10H19BF4N2,20.0,24.0,20.0,1-Hexyl-3-methylimidazolium,tetrafluoroborate,1.4749999999999999,360.0,1.1979166666666665,imidazolium,tetrafluoroborate
"1-Hexyl-3-methylimidazolium tricyanomethanide >98%
",,,1.02,<RT,39.2,C14H19N5,25.0,24.0,25.0,1-Hexyl-3-methylimidazolium,tricyanomethanide,,39.2,1.0625,imidazolium,tricyanomethanide
1-Hexylpyridinium bis(trifluoromethylsulfonyl)imide,2.3,,,<RT,75.3,C13H18F6N2O4S2,30.0,25.0,25.0,1-Hexylpyridinium,bis(trifluoromethylsulfonyl)imide,1.9166666666666665,75.3,,pyridinium,imid
1-Hexylpyridinium bromide,,,,60-70,,C11H18BrN,25.0,25.0,25.0,1-Hexylpyridinium,bromide,,,,pyridinium,bromide
1-Hexylpyridinium chloride,,,,<RT,4322.0,C11H18ClN,25.0,25.0,25.0,1-Hexylpyridinium,chloride,,4322.0,,pyridinium,chloride
1-Hexylpyridinium hexafluorophosphate,,,,50,,C11H18F6NP,25.0,25.0,25.0,1-Hexylpyridinium,hexafluorophosphate,,,,pyridinium,phosph
1-Hexylpyridinium tetrafluoroborate,0.9,,1.16,<RT,460.0,C11H18NBF4,30.0,23.0,18.0,1-Hexylpyridinium,tetrafluoroborate,0.7500000000000001,638.8888888888889,1.2608695652173911,pyridinium,tetrafluoroborate
1-Hexylpyridinium triflate,,,,63,,C12H18F3NO3S,25.0,25.0,25.0,1-Hexylpyridinium,triflate,,,,pyridinium,triflate
1-Methyl-1-octylpyrrolidinium   bis(trifluoromethylsulfonyl)imide,1.27,,1.45,<RT,168.0,C15H28F6N2O4S2,25.0,25.0,25.0,1-Methyl-1-octylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,1.27,168.0,1.45,pyrrolidinium,imid
1-Methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,2.12,5.9,1.41,<RT,176.0,C11H20F6N2O4S2,30.0,23.0,25.0,1-Methyl-1-propylpiperidinium,bis(trifluoromethylsulfonyl)imide,1.7666666666666668,176.0,1.5326086956521738,piperidinium,imid
1-Methyl-1-propylpiperidinium bromide,,,,247,,C9H20BrN,25.0,25.0,25.0,1-Methyl-1-propylpiperidinium,bromide,,,,piperidinium,bromide
1-Methyl-1-propylpiperidinium chloride,,,,>280,,C9H20ClN,25.0,25.0,25.0,1-Methyl-1-propylpiperidinium,chloride,,,,piperidinium,chloride
1-Methyl-1-propylpiperidinium hexafluorophosphate,,,,98,,C9H20F6NP,25.0,25.0,25.0,1-Methyl-1-propylpiperidinium,hexafluorophosphate,,,,piperidinium,phosph
1-Methyl-1-propylpiperidinium tetrafluoroborate,,,,105,,C9H20BF4N,25.0,25.0,25.0,1-Methyl-1-propylpiperidinium,tetrafluoroborate,,,,piperidinium,tetrafluoroborate
1-Methyl-1-propylpiperidinium triflate,,,,71,,C10H20F3NO3S,25.0,25.0,25.0,1-Methyl-1-propylpiperidinium,triflate,,,,piperidinium,triflate
"1-Methyl-1-propylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,,>RT	,,C10H19F4NO3S,25.0,25.0,25.0,1-Methyl-1-propylpyrrolidinium,"1,1,2,2-tetrafluoroethanesulfonate",,,,pyrrolidinium,sulfonate
1-Methyl-1-propylpyrrolidinium bromide,,,,210,,C8H18BrN,25.0,25.0,25.0,1-Methyl-1-propylpyrrolidinium,bromide,,,,pyrrolidinium,bromide
1-Methyl-1-propylpyrrolidinium chloride,,,,>RT,,C8H18ClN,25.0,25.0,25.0,1-Methyl-1-propylpyrrolidinium,chloride,,,,pyrrolidinium,chloride
1-Methyl-1-propylpyrrolidinium dicyanamide,,,,<RT,,C10H18N4,25.0,25.0,25.0,1-Methyl-1-propylpyrrolidinium,dicyanamide,,,,pyrrolidinium,dicyanamide
1-Methyl-1-propylpyrrolidinium hexafluorophosphate,,,,112,,C8H18F6NP,25.0,25.0,25.0,1-Methyl-1-propylpyrrolidinium,hexafluorophosphate,,,,pyrrolidinium,phosph
1-Methyl-1-propylpyrrolidinium tetrafluoroborate,,,,55,,C8H18BF4N,25.0,25.0,25.0,1-Methyl-1-propylpyrrolidinium,tetrafluoroborate,,,,pyrrolidinium,tetrafluoroborate
1-Methyl-1-propylpyrrolidinium triflate,,,,76,,C9H18F3NO3S,25.0,25.0,25.0,1-Methyl-1-propylpyrrolidinium,triflate,,,,pyrrolidinium,triflate
1-Methyl-3-nonylimidazolium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C15H25F6N3O4S2,25.0,25.0,25.0,1-Methyl-3-nonylimidazolium,bis(trifluoromethylsulfonyl)imide,,,,imidazolium,imid
1-Methyl-3-nonylimidazolium bromide,,,,<RT,,C13H25BrN2,25.0,25.0,25.0,1-Methyl-3-nonylimidazolium,bromide,,,,imidazolium,bromide
1-Methyl-3-nonylimidazolium hexafluorophosphate,,,,<RT,,C13H25F6N2P,25.0,25.0,25.0,1-Methyl-3-nonylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
1-Methyl-3-nonylimidazolium tetrafluoroborate,,,,<RT,,C13H25BF4N2,25.0,25.0,25.0,1-Methyl-3-nonylimidazolium,tetrafluoroborate,,,,imidazolium,tetrafluoroborate
1-Methyl-3-octadecylimidazolium bis(trifluoromethylsulfonyl)imide,,,,55-60,,C24H43F6N3O4S2,25.0,25.0,25.0,1-Methyl-3-octadecylimidazolium,bis(trifluoromethylsulfonyl)imide,,,,imidazolium,imid
1-Methyl-3-octadecylimidazolium chloride,,,,210,,C22H43ClN2,25.0,25.0,25.0,1-Methyl-3-octadecylimidazolium,chloride,,,,imidazolium,chloride
1-Methyl-3-octadecylimidazolium hexafluorophosphate,,,,88,,C22H43F6N2P,25.0,25.0,25.0,1-Methyl-3-octadecylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
1-Methyl-3-octadecylimidazolium tetrafluoroborate,,,,65,,C22H43BF4N2,25.0,25.0,25.0,1-Methyl-3-octadecylimidazolium,tetrafluoroborate,,,,imidazolium,tetrafluoroborate
1-Methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,1.6,,1.32,<RT,86.6,C14H23F6N3O4S2,30.0,25.0,25.0,1-Methyl-3-octylimidazolium,bis(trifluoromethylsulfonyl)imide,1.3333333333333335,86.6,1.32,imidazolium,imid
1-Methyl-3-octylimidazolium bromide,0.06,,1.17,<RT,6604.0,C12H23BrN2,30.0,24.0,25.0,1-Methyl-3-octylimidazolium,bromide,0.05,6604.000000000001,1.2187499999999998,imidazolium,bromide
1-Methyl-3-octylimidazolium hexafluorophosphate,0.44,4.5,1.24,<RT,608.0,C12H23F6N2P,25.0,25.0,25.0,1-Methyl-3-octylimidazolium,hexafluorophosphate,0.44,608.0,1.24,imidazolium,phosph
1-Methyl-3-octylimidazolium perfluorobutanesulfonate,0.46,,,35,171.0,C16H23F9N2O3S,40.0,25.0,40.0,1-Methyl-3-octylimidazolium,perfluorobutanesulfonate,0.2875,106.87500000000001,,imidazolium,sulfonate
1-Methyl-3-octylimidazolium tetrafluoroborate,1.27,,1.11,<RT,760.0,C12H23BF4N2,30.0,19.0,20.0,1-Methyl-3-octylimidazolium,tetrafluoroborate,1.0583333333333333,950.0,1.4605263157894737,imidazolium,tetrafluoroborate
1-Methyl-3-octylimidazolium tricyanomethanide,,,,<RT,,C16H23N5,25.0,25.0,25.0,1-Methyl-3-octylimidazolium,tricyanomethanide,,,,imidazolium,tricyanomethanide
1-Methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,3.28,,,<RT,59.3,C11H17F6N3O4S2,30.0,25.0,25.0,1-Methyl-3-pentylimidazolium,bis(trifluoromethylsulfonyl)imide,2.733333333333333,59.3,,imidazolium,imid
1-Methyl-3-pentylimidazolium bromide,,,,<RT,,C9H17BrN2,25.0,25.0,25.0,1-Methyl-3-pentylimidazolium,bromide,,,,imidazolium,bromide
1-Methyl-3-pentylimidazolium hexafluorophosphate,,,,<RT,,C9H17F6N2P,25.0,25.0,25.0,1-Methyl-3-pentylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
1-Methyl-3-pentylimidazolium tetrafluoroborate,,,,<RT,,C9H17BF4N2,25.0,25.0,25.0,1-Methyl-3-pentylimidazolium,tetrafluoroborate,,,,imidazolium,tetrafluoroborate
1-Methyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide,4.4,4.9,1.48,<RT,43.8,C9H13F6N3O4S2,20.0,18.0,25.0,1-Methyl-3-propylimidazolium,bis(trifluoromethylsulfonyl)imide,5.500000000000001,43.8,2.055555555555556,imidazolium,imid
1-Methyl-3-propylimidazolium bromide,,,,28,,C7H13BrN2,25.0,25.0,25.0,1-Methyl-3-propylimidazolium,bromide,,,,imidazolium,bromide
1-Methyl-3-propylimidazolium chloride,,,,60,,C7H13ClN2,25.0,25.0,25.0,1-Methyl-3-propylimidazolium,chloride,,,,imidazolium,chloride
1-Methyl-3-propylimidazolium hexafluorophosphate,,,,41,,C7H13F6N2P,25.0,25.0,25.0,1-Methyl-3-propylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
1-Methyl-3-propylimidazolium tetrafluoroborate,,,1.27,<RT,74.4,C7H13BF4N2,25.0,20.0,25.0,1-Methyl-3-propylimidazolium,tetrafluoroborate,,74.4,1.5875,imidazolium,tetrafluoroborate
1-Methyl-3-propylimidazolium triflate,,,,<RT,,C8H13F3N2O3S,25.0,25.0,25.0,1-Methyl-3-propylimidazolium,triflate,,,,imidazolium,triflate
1-Methyl-3-tetradecylimidazolium bis(trifluoromethylsulfonyl)imide,,,,38,,C20H35F6N3O4S2,25.0,25.0,25.0,1-Methyl-3-tetradecylimidazolium,bis(trifluoromethylsulfonyl)imide,,,,imidazolium,imid
"1-Methyl-3-tetradecylimidazolium chloride >98%
",,,,>RT,,C18H35ClN2,25.0,25.0,25.0,1-Methyl-3-tetradecylimidazolium,chloride,,,,imidazolium,chloride
1-Methyl-3-tetradecylimidazolium hexafluorophosphate,,,,69,,C18H35F6N2P,25.0,25.0,25.0,1-Methyl-3-tetradecylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
1-Methyl-3-tetradecylimidazolium tetrafluoroborate,,,,37,,C18H35BF4N2,25.0,25.0,25.0,1-Methyl-3-tetradecylimidazolium,tetrafluoroborate,,,,imidazolium,tetrafluoroborate
1-Methylimidazolium  chloride,,,,>RT,,C4H7ClN2,25.0,25.0,25.0,1-Methylimidazolium,chloride,,,,imidazolium,chloride
1-Methylimidazolium  nitrate,,,,66,,C4H7N3O3,25.0,25.0,25.0,1-Methylimidazolium,nitrate,,,,imidazolium,nitrate
1-Methylimidazolium  triflate,,,,>RT,,C4H7F3N2O3S,25.0,25.0,25.0,1-Methylimidazolium,triflate,,,,imidazolium,triflate
1-Methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,49,,C6H7F6N3O4S2,25.0,25.0,25.0,1-Methylimidazolium,bis(trifluoromethylsulfonyl)imide,,,,imidazolium,imid
1-Methylimidazolium bromide,,,,>RT,,C4H7BrN2,25.0,25.0,25.0,1-Methylimidazolium,bromide,,,,imidazolium,bromide
1-Propyl-2-methylpyridinium  bromide,,,,106,,C9H14BrN,25.0,25.0,25.0,1-Propyl-2-methylpyridinium,bromide,,,,pyridinium,bromide
1-Propyl-3-methylpyridinium  bromide,,,,152,,C9H14BrN,25.0,25.0,25.0,1-Propyl-3-methylpyridinium,bromide,,,,pyridinium,bromide
1-Propyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide,7.47,,1.45,<RT,53.4,C11H14F6N2O4S2,30.0,22.0,25.0,1-Propyl-3-methylpyridinium,bis(trifluoromethylsulfonyl)imide,6.225,53.400000000000006,1.6477272727272725,pyridinium,imid
1-Propyl-4-methylpyridinium  bromide,,,,55,,C9H14BrN,25.0,25.0,25.0,1-Propyl-4-methylpyridinium,bromide,,,,pyridinium,bromide
1-Propyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,5.72,,1.45,<RT,51.0,C11H14F6N2O4S2,30.0,22.0,25.0,1-Propyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide,4.766666666666667,51.0,1.6477272727272725,pyridinium,imid
1-Propylpyridinium bis(trifluoromethylsulfonyl)imide,,,,46,,C10H12F6N2O4S2,25.0,25.0,25.0,1-Propylpyridinium,bis(trifluoromethylsulfonyl)imide,,,,pyridinium,imid
1-Propylpyridinium bromide,,,,73,,C8H12BrN,25.0,25.0,25.0,1-Propylpyridinium,bromide,,,,pyridinium,bromide
1-Propylpyridinium hexafluorophosphate,,,,>RT,,C8H12F6NP,25.0,25.0,25.0,1-Propylpyridinium,hexafluorophosphate,,,,pyridinium,phosph
1-Propylpyridinium tetrafluoroborate,,,,<RT,,C8H12BF4N,25.0,25.0,25.0,1-Propylpyridinium,tetrafluoroborate,,,,pyridinium,tetrafluoroborate
1-Propylpyridinium triflate,,,,<RT,,C9H12F3NO3S,25.0,25.0,25.0,1-Propylpyridinium,triflate,,,,pyridinium,triflate
2-Hydroxyethylammonium formate,4.4,,1.2,<RT,188.0,C3H9NO3,25.0,25.0,25.0,2-Hydroxyethylammonium,formate,4.4,188.0,1.2,ammonium,formate
2-Methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,3.0,,,<RT,81.6,C11H14F6N2O4S2,30.0,25.0,25.0,2-Methyl-1-propylpyridinium,bis(trifluoromethylsulfonyl)imide,2.5,81.6,,pyridinium,imid
Butyltriethylammonium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C12H24F6N2O4S2,25.0,25.0,25.0,Butyltriethylammonium,bis(trifluoromethylsulfonyl)imide,,,,ammonium,imid
"Butyltrimethylammonium 1,1,2,2-tetrafluoroethanesulfonate",,,,>RT,,C9H19F4NO3S,25.0,25.0,25.0,Butyltrimethylammonium,"1,1,2,2-tetrafluoroethanesulfonate",,,,ammonium,sulfonate
Butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,2.86,6.1,1.4,<RT,99.5,C9H18F6N2O4S2,25.0,25.0,25.0,Butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,2.86,99.5,1.4,ammonium,imid
Choline acetate,,,,>RT,,C7H17NO3,25.0,25.0,25.0,Choline,acetate,,,,Choline,acetate
Choline bis(trifluoromethylsulfonyl)imide,3.98,,,35-37,49.5,C7H14F6N2O4S2,45.0,25.0,45.0,Choline,bis(trifluoromethylsulfonyl)imide,2.2111111111111112,27.500000000000004,,Choline,imid
Choline dihydrogen phosphate,,,,190,,C5H16F6NPO5,25.0,25.0,25.0,Choline,dihydrogen phosphate,,,,Choline,phosph
Diethylmethylammonium methanesulfonate,6.2,,1.12,<RT,111.0,C6H17NO3S,40.0,38.0,25.0,Diethylmethylammonium,methanesulfonate,3.875,111.00000000000001,0.736842105263158,ammonium,sulfonate
Diethylmethylammonium triflate,8.1,,,<RT,37.7,C6H14F3NO3S,30.0,25.0,25.0,Diethylmethylammonium,triflate,6.749999999999999,37.7,,ammonium,triflate
Diethylmethylsulfonium bis(trifluoromethylsulfonyl)imide,5.98,5.6,1.51,<RT,39.4,C7H13F6NO4S3,25.0,19.0,25.0,Diethylmethylsulfonium,bis(trifluoromethylsulfonyl)imide,5.98,39.4,1.986842105263158,sulfonium,imid
Dimethylammonium nitrate,,,,75,,C2H8N2O3,25.0,25.0,25.0,Dimethylammonium,nitrate,,,,ammonium,nitrate
Ethylammonium nitrate,25.4,,1.21,<RT,36.5,C2H9N2O3,25.0,25.0,25.0,Ethylammonium,nitrate,25.4,36.5,1.21,ammonium,nitrate
Ethyltributylphosphonium diethyl phosphate,0.27,4.4,1.01,<RT,481.0,C18H42O4P2,30.0,25.0,25.0,Ethyltributylphosphonium,diethyl phosphate,0.22500000000000003,480.99999999999994,1.01,phosphonium,phosph
Hexadecyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,,>RT,,C21H42F6N2O4S2,25.0,25.0,25.0,Hexadecyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,,,,ammonium,imid
Methylammonium nitrate,,,,101,,CH6N2O3,25.0,25.0,25.0,Methylammonium,nitrate,,,,ammonium,nitrate
Methyltrioctylammonium bis(trifluoromethylsulfonyl)imide,0.09,4.7,1.15,<RT,530.0,C27H54F6N2O4S2,25.0,25.0,25.0,Methyltrioctylammonium,bis(trifluoromethylsulfonyl)imide,0.09,530.0,1.15,ammonium,imid
Methyltrioctylammonium triflate,,,,57,,C26H54F3NO3S,25.0,25.0,25.0,Methyltrioctylammonium,triflate,,,,ammonium,triflate
N-Ethyl-N-methyl-N-propylammonium perfluorobutanesulfonate,,,,>RT,,C10H16F9NO3S,25.0,25.0,25.0,N-Ethyl-N-methyl-N-propylammonium,perfluorobutanesulfonate,,,,ammonium,sulfonate
Octyltriethylammonium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C16H32F6N2O4S2,25.0,25.0,25.0,Octyltriethylammonium,bis(trifluoromethylsulfonyl)imide,,,,ammonium,imid
Propylammonium nitrate,,,1.15,<RT,66.4,C3H10N2O3,25.0,25.0,25.0,Propylammonium,nitrate,,66.4,1.15,ammonium,nitrate
"Tetraethylammonium 1,1,2,2-tetrafluoroethanesulfonate",,,,>RT,,C10H21F4NO3S,25.0,25.0,25.0,Tetraethylammonium,"1,1,2,2-tetrafluoroethanesulfonate",,,,ammonium,sulfonate
Tetraethylammonium bis(trifluoromethylsulfonyl)imide,,,,>RT,,C10H20F6N2O4S2,25.0,25.0,25.0,Tetraethylammonium,bis(trifluoromethylsulfonyl)imide,,,,ammonium,imid
Tributylmethylammonium bis(fluorosulfonyl)imide,,,,<RT,,C13H30F2N2O4S2,25.0,25.0,25.0,Tributylmethylammonium,bis(fluorosulfonyl)imide,,,,ammonium,imid
Tributylmethylammonium bis(trifluoromethylsulfonyl)imide,0.48,6.2,1.26,<RT,522.0,C15H30F6N2O4S2,30.0,23.0,25.0,Tributylmethylammonium,bis(trifluoromethylsulfonyl)imide,0.4,522.0,1.3695652173913042,ammonium,imid
Tributylmethylphosphonium bis(trifluoromethylsulfonyl)imide,,,,16,,C15H30F6NO4PS2,25.0,25.0,25.0,Tributylmethylphosphonium,bis(trifluoromethylsulfonyl)imide,,,,phosphonium,imid
Tributylmethylphosphonium methylsulfate,,,1.0662,34,409.3,C14H33O4PS,25.0,25.0,25.0,Tributylmethylphosphonium,methyl sulfate,,409.3,1.0662,phosphonium,sulfate
Tributyltetradecylphosphonium dodecylbenzenesulfonate,4.89,,,<RT,3621.0,C44H85O3PS,30.0,25.0,25.0,Tributyltetradecylphosphonium,dodecylbenzenesulfonate,4.074999999999999,3621.0,,phosphonium,sulfonate
Triethylsulfonium bis(trifluoromethylsulfonyl)imide,5.12,4.5,1.46,<RT,31.5,C8H15F6NO4S3,25.0,25.0,25.0,Triethylsulfonium,bis(trifluoromethylsulfonyl)imide,5.12,31.5,1.46,sulfonium,imid
"Trihexyltetradecylphosphonium bis(2,4,4-Trimethylpentyl)phosphinate",0.01,,0.89,<RT,1198.0,C48H102O2P2,30.0,25.0,25.0,Trihexyltetradecylphosphonium,"bis(2,4,4-Trimethylpentyl)phosphinate",0.008333333333333333,1198.0,0.89,phosphonium,phosph
Trihexyltetradecylphosphonium bis(2-ethylhexyl)phosphate,0.002,,0.91,<RT,1120.0,C48H102O4P2,30.0,23.0,25.0,Trihexyltetradecylphosphonium,bis(2-ethylhexyl)phosphate,0.0016666666666666668,1120.0,0.9891304347826088,phosphonium,phosph
Trihexyltetradecylphosphonium bis(trifluoromethylsulfonyl)imide,0.14,4.4,1.07,-72,304.0,C34H68F6NO4PS2,30.0,25.0,25.0,Trihexyltetradecylphosphonium,bis(trifluoromethylsulfonyl)imide,0.11666666666666668,304.0,1.07,phosphonium,imid
Trihexyltetradecylphosphonium bromide,,,,<RT,,C32H68F3PBr,25.0,25.0,25.0,Trihexyltetradecylphosphonium,bromide,,,,phosphonium,bromide
Trihexyltetradecylphosphonium chloride,4.63,3.8,0.88,<RT,1631.0,C32H68PCl,25.0,25.0,25.0,Trihexyltetradecylphosphonium,chloride,4.63,1630.9999999999998,0.88,phosphonium,chloride
Trihexyltetradecylphosphonium decanoate,0.04,,0.89,~RT,319.0,C42H97PO2??,30.0,25.0,25.0,Trihexyltetradecylphosphonium,decanoate,0.03333333333333333,319.0,0.89,phosphonium,decanoate
Trihexyltetradecylphosphonium dicyanamide,0.16,3.2,0.9,<RT,361.0,C34H68PN3,24.0,28.0,25.0,Trihexyltetradecylphosphonium,dicyanamide,0.16666666666666669,361.0,0.8035714285714287,phosphonium,dicyanamide
Trihexyltetradecylphosphonium hexafluorophosphate,,,,40-45,,C32H68F6P2,25.0,25.0,25.0,Trihexyltetradecylphosphonium,hexafluorophosphate,,,,phosphonium,phosph
Trihexyltetradecylphosphonium tricyanomethanide,,,,<RT,,C36H68N3P,25.0,25.0,25.0,Trihexyltetradecylphosphonium,tricyanomethanide,,,,phosphonium,tricyanomethanide
Triisobutylmethylphosphonium tosylate,0.04,4.1,1.07,<RT,4003.0,C20H37O3PS,25.0,25.0,25.0,Triisobutylmethylphosphonium,tosylate,0.04,4003.0,1.07,phosphonium,tosylate
Trimethylsulfonium bis(trifluoromethylsulfonyl)imid,,,,45,,C5H9F6NO4S3,25.0,25.0,25.0,Trimethylsulfonium,bis(trifluoromethylsulfonyl)imide,,,,sulfonium,imid
