label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion
1-Ethyl-1-methylpyrrolidinium hexafluorophosphate,,,,>270,,C7H16F6NP,,,,1-Ethyl-1-methylpyrrolidinium,hexafluorophosphate
1-Ethyl-1-methylpyrrolidinium tetrafluoroborate,,,,292,,C7H16BF4N,,,,1-Ethyl-1-methylpyrrolidinium,tetrafluoroborate
1-Ethyl-1-methylpyrrolidinium triflate,,,,107,,C8H16F3NO3S,,,,1-Ethyl-1-methylpyrrolidinium,triflate
"1-Ethyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide",3.18,4.4,1.49,25,68.5,C9H13F6N3O4S2,20,25,25,"1-Ethyl-2,3-dimethylimidazolium",bis(trifluoromethylsulfonyl)imide
"1-Ethyl-2,3-dimethylimidazolium bromide",,,,140,,C7H13BrN2,,,,"1-Ethyl-2,3-dimethylimidazolium",bromide
"1-Ethyl-2,3-dimethylimidazolium hexafluorophosphate",,,,79,,C7H13F6N2P,,,,"1-Ethyl-2,3-dimethylimidazolium",hexafluorophosphate
"1-Ethyl-2,3-dimethylimidazolium tetrafluoroborate",,,,104,,C7H13BF4N2,,,,"1-Ethyl-2,3-dimethylimidazolium",tetrafluoroborate
"1-Ethyl-2,3-dimethylimidazolium triflate",,,,105,,C8H13F3N2O3S,,,,"1-Ethyl-2,3-dimethylimidazolium",triflate
1-Ethyl-2-methylpyridinium  bromide,,,,120,,C8H12BrN,,,,1-Ethyl-2-methylpyridinium,bromide
1-Ethyl-2-methylpyridinium bis(trifluoromethylsulfonyl)imide,3.71,4.4,1.51,<RT,74.8,C10H12F6N2O4S2,30,27,25,1-Ethyl-2-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-3-methylimidazolium   dibutylphosphate,0.25,,,<RT,691,C14H29N2O4P,25,,25,1-Ethyl-3-methylimidazolium,dibutylphosphate
1-Ethyl-3-methylimidazolium acetate,2.5,3.2,1.1,-45,93,C8H14N2O2,,,,1-Ethyl-3-methylimidazolium,acetate
1-Ethyl-3-methylimidazolium bis(fluorosulfonyl)imide,,,,<RT,,C6H11F2N3O4S2,,,,1-Ethyl-3-methylimidazolium,bis(fluorosulfonyl)imide
1-Ethyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,,,,<RT,,C10H11F10N3O4S2,,,,1-Ethyl-3-methylimidazolium,bis(pentafluoroethylsulfonyl)imide
1-Ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,6.63,4.7,1.52,-3,39.4,C8H11F6N3O4S2,,,,1-Ethyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-3-methylimidazolium bromide,,,,91,,C6H11BrN2,,,,1-Ethyl-3-methylimidazolium,bromide
1-Ethyl-3-methylimidazolium chloride,,,,87??C,,C6H11ClN2,,,,1-Ethyl-3-methylimidazolium,chloride
1-Ethyl-3-methylimidazolium dicyanamide,17.7,3,1.1,-21,14.6,C8H11N5,,,,1-Ethyl-3-methylimidazolium,dicyanamide
1-Ethyl-3-methylimidazolium diethyl phosphate,0.84,5.8,,<RT,,C10H21N2O4P,,,,1-Ethyl-3-methylimidazolium,diethyl phosphate
1-Ethyl-3-methylimidazolium dimethyl phosphate,1.86,,1.22,41,,C9H19N2O3P,30,22,,1-Ethyl-3-methylimidazolium,dimethyl phosphate
1-Ethyl-3-methylimidazolium ethyl sulfate,5.56,4,1.24,<RT,94.2,C8H16N2O4S,,,,1-Ethyl-3-methylimidazolium,ethyl sulfate
1-Ethyl-3-methylimidazolium hexafluorophosphate,,,,64,,C6H11F6N2P,,,,1-Ethyl-3-methylimidazolium,hexafluorophosphate
1-Ethyl-3-methylimidazolium hydrogensulfate,0.5,,1.36,<RT,1510,C6H12N2O4S,20,28,25,1-Ethyl-3-methylimidazolium,hydrogensulfate
1-Ethyl-3-methylimidazolium methanesulfonate,3.69,,1.24,<RT,135,C7H14N2O3S,30,23,25,1-Ethyl-3-methylimidazolium,methanesulfonate
